Rank,Mark,WIND,Competitor,DOB,Nat,Pos,Unnamed: 7,Venue,Date,Results Score,Year,Mark_Sec
13,1:41.73,,Wilson KIPKETER,12 DEC 1972,DEN,1,,Stockholm (SWE),1997-07-07,1275,1997,101.72999999999999
13,1:41.73,,Nijel AMOS,15 MAR 1994,BOT,2,,"Olympic Stadium, London (GBR)",2012-08-09,1275,2012,101.72999999999999
16,1:41.74,,David RUDISHA,17 DEC 1988,KEN,1,,"Icahn Stadium, New York, NY (USA)",2012-06-09,1275,2012,101.74000000000001
17,1:41.77,,Joaquim CRUZ,12 MAR 1963,BRA,1,,Köln (GER),1984-08-26,1274,1984,101.77000000000001
18,1:41.83,,Wilson KIPKETER,12 DEC 1972,DEN,1,,Rieti (ITA),1996-09-01,1272,1996,101.83
19,1:41.89,,Nijel AMOS,15 MAR 1994,BOT,1,,"Stade Louis II, Monaco (MON)",2019-07-12,1270,2019,101.89
20,1:42.01,,David RUDISHA,17 DEC 1988,KEN,1f1,,Rieti (ITA),2009-09-06,1266,2009,102.00999999999999
21,1:42.04,,David RUDISHA,17 DEC 1988,KEN,1,,"Bislett Stadion, Oslo (NOR)",2010-06-04,1265,2010,102.03999999999999
22,1:42.05,,Emmanuel Kipkurui KORIR,15 JUN 1995,KEN,1,,"Olympic Stadium, London (GBR)",2018-07-22,1265,2018,102.05
23,1:42.08,,Aaron Kemei CHEMININGWA,21 JUN 1998,KEN,4,,"Stade Charléty, Paris (FRA)",2024-07-07,1264,2024,102.08
23,1:42.08,,Wyclife KINYAMAL,02 JUL 1997,KEN,5,,"Stade Charléty, Paris (FRA)",2024-07-07,1264,2024,102.08
25,1:42.12,,David RUDISHA,17 DEC 1988,KEN,1,,Nairobi (KEN),2012-06-23,1263,2012,102.12
26,1:42.14,,Nijel AMOS,15 MAR 1994,BOT,1,,"Stade Louis II, Monaco (MON)",2018-07-20,1262,2018,102.14
27,1:42.15,,David RUDISHA,17 DEC 1988,KEN,1,,"Estádio Olímpico, Rio de Janeiro (BRA)",2016-08-15,1262,2016,102.15
28,1:42.17,,Wilson KIPKETER,12 DEC 1972,DEN,1,,Tokyo (JPN),1996-09-16,1261,1996,102.17
29,1:42.20,,Wilson KIPKETER,12 DEC 1972,DEN,1,,Bruxelles (BEL),1997-08-22,1260,1997,102.2
30,1:42.23,,Abubaker KAKI,21 JUN 1989,SUD,2,,"Bislett Stadion, Oslo (NOR)",2010-06-04,1259,2010,102.22999999999999
31,1:42.27,,Wilson KIPKETER,12 DEC 1972,DEN,1,,Bruxelles (BEL),1999-09-03,1258,1999,102.27000000000001
32,1:42.28,,Sammy KOSKEI,14 MAY 1961,KEN,2,,Köln (GER),1984-08-26,1258,1984,102.28
33,1:42.32,,Wilson KIPKETER,12 DEC 1972,DEN,1,,Rieti (ITA),2002-09-08,1257,2002,102.32
34,1:42.33,,Sebastian COE,29 SEP 1956,GBR,1,,Oslo (NOR),1979-07-05,1256,1979,102.33
35,1:42.34,,Joaquim CRUZ,12 MAR 1963,BRA,1f1,,Zürich (SUI),1984-08-22,1256,1984,102.34
35,1:42.34,,Wilfred BUNGEI,24 JUL 1980,KEN,2,,Rieti (ITA),2002-09-08,1256,2002,102.34
35,1:42.34,,Donavan BRAZIER,15 APR 1997,USA,1,,"Khalifa International Stadium, Doha (QAT)",2019-10-01,1256,2019,102.34
38,1:42.37,,Mohammed AMAN,10 JAN 1994,ETH,1f1,,"Boudewijnstadion, Bruxelles (BEL)",2013-09-06,1255,2013,102.37
39,1:42.41,,Joaquim CRUZ,12 MAR 1963,BRA,1,,Bruxelles (BEL),1984-08-24,1254,1984,102.41
40,1:42.43,,Eliott CRESTAN,22 FEB 1999,BEL,6,,"Stade Charléty, Paris (FRA)",2024-07-07,1253,2024,102.43
41,1:42.45,,Nijel AMOS,15 MAR 1994,BOT,1,,"Stade Louis II, Monaco (MON)",2014-07-18,1252,2014,102.45
42,1:42.47,,Yuriy BORZAKOVSKIY,12 APR 1981,RUS,1,,Bruxelles (BEL),2001-08-24,1252,2001,102.47
43,1:42.49,,Joaquim CRUZ,12 MAR 1963,BRA,1f1,,Koblenz (GER),1985-08-28,1251,1985,102.49000000000001
44,1:42.50,,Wyclife KINYAMAL,02 JUL 1997,KEN,2,,"Nyayo National Stadium, Nairobi (KEN)",2024-06-15,1251,2024,102.5
45,1:42.51,,Wilson KIPKETER,12 DEC 1972,DEN,1,,Nice (FRA),1996-07-10,1251,1996,102.50999999999999
45,1:42.51,,Amel TUKA,09 JAN 1991,BIH,1,,"Stade Louis II, Monaco (MON)",2015-07-17,1251,2015,102.50999999999999
47,1:42.52,,Wilfred BUNGEI,24 JUL 1980,KEN,1,,"Boudewijnstadion, Bruxelles (BEL)",2003-09-05,1250,2003,102.52000000000001
48,1:42.53,,Timothy KITUM,20 NOV 1994,KEN,3,,"Olympic Stadium, London (GBR)",2012-08-09,1250,2012,102.53
48,1:42.53,,Mohammed AMAN,10 JAN 1994,ETH,1,,"Letzigrund, Zürich (SUI)",2012-08-30,1250,2012,102.53
48,1:42.53,,Pierre-Ambroise BOSSE,11 MAY 1992,FRA,2,,"Stade Louis II, Monaco (MON)",2014-07-18,1250,2014,102.53
51,1:42.54,,Joaquim CRUZ,12 MAR 1963,BRA,1,,Köln (GER),1985-08-25,1250,1985,102.53999999999999
51,1:42.54,,Ferguson Cheruiyot ROTICH,30 NOV 1989,KEN,2,,"Stade Louis II, Monaco (MON)",2019-07-12,1250,2019,102.53999999999999
53,1:42.55,,André BUCHER,19 OCT 1976,SUI,1f1,,"Letzigrund, Zürich (SUI)",2001-08-17,1249,2001,102.55
54,1:42.57,,Wilson KIPKETER,12 DEC 1972,DEN,1,,"Stade Louis II, Monaco (MON)",1999-08-04,1249,1999,102.57
55,1:42.58,,Vebjørn RODAL,16 SEP 1972,NOR,1,,"Olympic Stadium, Atlanta, GA (USA)",1996-07-31,1248,1996,102.58
56,1:42.59,,Wilson KIPKETER,12 DEC 1972,DEN,1,,Monaco (MON),1996-08-10,1248,1996,102.59
57,1:42.60,,Johnny GRAY,19 JUN 1960,USA,2f1,,Koblenz (GER),1985-08-28,1248,1985,102.6
58,1:42.61,,Wilson KIPKETER,12 DEC 1972,DEN,1f1,,Zürich (SUI),1996-08-14,1247,1996,102.61
58,1:42.61,,Wilson KIPKETER,12 DEC 1972,DEN,1f1,,"Stade Olympique de la Pontaise, Lausanne (SUI)",1997-07-02,1247,1997,102.61
58,1:42.61,,David RUDISHA,17 DEC 1988,KEN,1,,"Stade Louis II, Monaco (MON)",2011-07-22,1247,2011,102.61
58,1:42.61,,Taoufik MAKHLOUFI,29 APR 1988,ALG,2,,"Estádio Olímpico, Rio de Janeiro (BRA)",2016-08-15,1247,2016,102.61
62,1:42.62,,Patrick NDURURI,12 JAN 1969,KEN,2f1,,Zürich (SUI),1997-08-13,1247,1997,102.62
63,1:42.65,,Johnny GRAY,19 JUN 1960,USA,1f1,,"Letzigrund, Zürich (SUI)",1988-08-17,1246,1988,102.65
64,1:42.66,,Nijel AMOS,15 MAR 1994,BOT,2,,"Stade Louis II, Monaco (MON)",2015-07-17,1246,2015,102.66
64,1:42.66,,Koitatoi KIDALI,12 FEB 2003,KEN,3,,"Nyayo National Stadium, Nairobi (KEN)",2024-06-15,1246,2024,102.66
66,1:42.67,,Wilson KIPKETER,12 DEC 1972,DEN,1,,"Palais Omnisports de Paris-Bercy, Paris (FRA) (i)",1997-03-09,1305,1997,102.67
66,1:42.67,,Alfred Kirwa YEGO,28 NOV 1986,KEN,2f1,,Rieti (ITA),2009-09-06,1246,2009,102.67
68,1:42.69,,Hezekiel SEPENG,30 JUN 1974,RSA,2,,Bruxelles (BEL),1999-09-03,1245,1999,102.69
68,1:42.69,,Japheth KIMUTAI,20 DEC 1978,KEN,3,,Bruxelles (BEL),1999-09-03,1245,1999,102.69
68,1:42.69,,Abubaker KAKI,21 JUN 1989,SUD,1,,"Bislett Stadion, Oslo (NOR)",2008-06-06,1245,2008,102.69
71,1:42.70,,Donavan BRAZIER,15 APR 1997,USA,1,,"Letzigrund, Zürich (SUI)",2019-08-29,1245,2019,102.7
72,1:42.74,,Hezekiel SEPENG,30 JUN 1974,RSA,2,,"Olympic Stadium, Atlanta, GA (USA)",1996-07-31,1243,1996,102.74000000000001
72,1:42.74,,Wilson KIPKETER,12 DEC 1972,DEN,1,,Bruxelles (BEL),2002-08-30,1243,2002,102.74000000000001
74,1:42.75,,André BUCHER,19 OCT 1976,SUI,2,,Bruxelles (BEL),2001-08-24,1243,2001,102.75
75,1:42.76,,Wilson KIPKETER,12 DEC 1972,DEN,1f1,,Oslo (NOR),1996-07-05,1243,1996,102.75999999999999
75,1:42.76,,Japheth KIMUTAI,20 DEC 1978,KEN,1,,Stuttgart (GER),1998-07-19,1243,1998,102.75999999999999
77,1:42.77,,Wilson KIPKETER,12 DEC 1972,DEN,1,,Bruxelles (BEL),1996-08-23,1242,1996,102.77000000000001
77,1:42.77,,Wilson KIPKETER,12 DEC 1972,DEN,1,,"Stade Louis II, Monaco (MON)",1997-08-16,1242,1997,102.77000000000001
77,1:42.77,,Bryce HOPPEL,05 SEP 1997,USA,1,,"Hayward Field, Eugene, OR (USA)",2024-06-30,1242,2024,102.77000000000001
80,1:42.79,,Fred ONYANCHA,25 DEC 1969,KEN,3,,"Olympic Stadium, Atlanta, GA (USA)",1996-07-31,1242,1996,102.78999999999999
80,1:42.79,,Wilson KIPKETER,12 DEC 1972,DEN,1,,"Stadio Olimpico, Roma (ITA)",1999-07-07,1242,1999,102.78999999999999
80,1:42.79,,Yuriy BORZAKOVSKIY,12 APR 1981,RUS,1,,"Stade Louis II, Monaco (MON)",2008-07-29,1242,2008,102.78999999999999
80,1:42.79,,Yusuf Saad KAMEL,29 MAR 1983,BRN,2,,"Stade Louis II, Monaco (MON)",2008-07-29,1242,2008,102.78999999999999
80,1:42.79,,Emmanuel Kipkurui KORIR,15 JUN 1995,KEN,1,,"Alexander Stadium, Birmingham (GBR)",2018-08-18,1242,2018,102.78999999999999
85,1:42.80,,Johnny GRAY,19 JUN 1960,USA,1,,"New Orleans, LA (USA)",1992-06-24,1241,1992,102.8
85,1:42.80,,Emmanuel WANYONYI,01 AUG 2004,KEN,1,,"Hayward Field, Eugene, OR (USA)",2023-09-17,1241,2023,102.8
87,1:42.81,,Jean-Patrick NDUWIMANA,09 MAR 1978,BDI,2f1,,"Letzigrund, Zürich (SUI)",2001-08-17,1241,2001,102.81
87,1:42.81,,David RUDISHA,17 DEC 1988,KEN,2,,"Letzigrund, Zürich (SUI)",2012-08-30,1241,2012,102.81
89,1:42.82,,Duane SOLOMON,28 DEC 1984,USA,4,,"Olympic Stadium, London (GBR)",2012-08-09,1241,2012,102.82
90,1:42.83,,Mohammed AMAN,10 JAN 1994,ETH,3,,"Stade Louis II, Monaco (MON)",2014-07-18,1241,2014,102.83
91,1:42.84,,David RUDISHA,17 DEC 1988,KEN,1,,"Nyayo National Stadium, Nairobi (KEN)",2010-07-30,1240,2010,102.84
91,1:42.84,,Ferguson Cheruiyot ROTICH,30 NOV 1989,KEN,4,,"Stade Louis II, Monaco (MON)",2014-07-18,1240,2014,102.84
93,1:42.85,,Norberto TÉLLEZ,23 DEC 1972,CUB,4,,"Olympic Stadium, Atlanta, GA (USA)",1996-07-31,1240,1996,102.85
93,1:42.85,,Marco AROP,20 SEP 1998,CAN,2,,"Hayward Field, Eugene, OR (USA)",2023-09-17,1240,2023,102.85
95,1:42.86,,Mbulaeni MULAUDZI,08 SEP 1980,RSA,3f1,,Rieti (ITA),2009-09-06,1240,2009,102.86
96,1:42.87,,Wilson KIPKETER,12 DEC 1972,DEN,1,,"Stade Louis II, Monaco (MON)",1995-07-25,1239,1995,102.87
96,1:42.87,,Wilson KIPKETER,12 DEC 1972,DEN,1f1,,Zürich (SUI),1995-08-16,1239,1995,102.87
96,1:42.87,,Japheth KIMUTAI,20 DEC 1978,KEN,1f1,,Zürich (SUI),1998-08-12,1239,1998,102.87
96,1:42.87,,Alfred KIPKETER,28 DEC 1996,KEN,1,,"Stade de France, Paris-St-Denis (FRA)",2016-08-27,1239,2016,102.87
100,1:42.88,,Steve CRAM,14 OCT 1960,GBR,1f1,,"Letzigrund, Zürich (SUI)",1985-08-21,1239,1985,102.88
101,1:42.89,,Mbulaeni MULAUDZI,08 SEP 1980,RSA,2,,"Boudewijnstadion, Bruxelles (BEL)",2003-09-05,1239,2003,102.89
102,1:42.90,,Patrick NDURURI,12 JAN 1969,KEN,1,,"Stadio Olimpico, Roma (ITA)",1998-07-14,1238,1998,102.9
102,1:42.90,,André BUCHER,19 OCT 1976,SUI,1,,"Stade Louis II, Monaco (MON)",2001-07-20,1238,2001,102.9
104,1:42.91,,William YIAMPOY,17 MAY 1974,KEN,3,,Rieti (ITA),2002-09-08,1238,2002,102.91
104,1:42.91,,David RUDISHA,17 DEC 1988,KEN,1,,"Crystal Palace, London (GBR)",2011-08-05,1238,2011,102.91
104,1:42.91,,Nijel AMOS,15 MAR 1994,BOT,1,,"Stade Louis II, Monaco (MON)",2021-07-09,1238,2021,102.91
107,1:42.92,,André BUCHER,19 OCT 1976,SUI,4,,Bruxelles (BEL),1999-09-03,1238,1999,102.92
108,1:42.93,,Clayton MURPHY,26 FEB 1995,USA,3,,"Estádio Olímpico, Rio de Janeiro (BRA)",2016-08-15,1237,2016,102.93
109,1:42.95,,Vebjørn RODAL,16 SEP 1972,NOR,2f1,,Oslo (NOR),1996-07-05,1237,1996,102.95
109,1:42.95,,Boaz Kiplagat LALANG,08 FEB 1989,KEN,2f1,,"Stadio Guidobaldi, Rieti (ITA)",2010-08-29,1237,2010,102.95
109,1:42.95,,Nick SYMMONDS,30 DEC 1983,USA,5,,"Olympic Stadium, London (GBR)",2012-08-09,1237,2012,102.95
112,1:42.96,,Johnny GRAY,19 JUN 1960,USA,1,,Koblenz (GER),1984-08-29,1236,1984,102.96000000000001
112,1:42.96,,Wilfred BUNGEI,24 JUL 1980,KEN,3f1,,"Letzigrund, Zürich (SUI)",2001-08-17,1236,2001,102.96000000000001
114,1:42.97,,Peter ELLIOTT,09 OCT 1962,GBR,1,,Sevilla (ESP),1990-05-30,1236,1990,102.97
114,1:42.97,,Ayanleh SOULEIMAN,03 DEC 1992,DJI,3,,"Stade Louis II, Monaco (MON)",2015-07-17,1236,2015,102.97
116,1:42.98,,Joaquim CRUZ,12 MAR 1963,BRA,1,,"Olympiastadion, Berlin (GER)",1985-08-23,1236,1985,102.97999999999999
116,1:42.98,,Patrick KONCHELLAH,20 APR 1968,KEN,2,,Köln (GER),1997-08-24,1236,1997,102.97999999999999
116,1:42.98,,Wilson KIPKETER,12 DEC 1972,DEN,1,,Fukuoka (JPN),1997-09-13,1236,1997,102.97999999999999
116,1:42.98,,Japheth KIMUTAI,20 DEC 1978,KEN,2,,"Stadio Olimpico, Roma (ITA)",1999-07-07,1236,1999,102.97999999999999
116,1:42.98,,David RUDISHA,17 DEC 1988,KEN,5,,"Stade Louis II, Monaco (MON)",2014-07-18,1236,2014,102.97999999999999
116,1:42.98,,Taoufik MAKHLOUFI,29 APR 1988,ALG,2,,"Stade de France, Paris-St-Denis (FRA)",2016-08-27,1236,2016,102.97999999999999
116,1:42.98,,Nijel AMOS,15 MAR 1994,BOT,2,,"Letzigrund, Zürich (SUI)",2019-08-29,1236,2019,102.97999999999999
123,1:43.00,,Joaquim CRUZ,12 MAR 1963,BRA,1,,"Memorial Coliseum, Los Angeles, CA (USA)",1984-08-06,1235,1984,103.0
123,1:43.00,,William YIAMPOY,17 MAY 1974,KEN,4f1,,"Letzigrund, Zürich (SUI)",2001-08-17,1235,2001,103.0
123,1:43.00,,David RUDISHA,17 DEC 1988,KEN,1,,"Suhaim bin Hamad Stadium, Doha (QAT)",2010-05-14,1235,2010,103.0
126,1:43.01,,Wilson KIPKETER,12 DEC 1972,DEN,1f1,,Zürich (SUI),1999-08-11,1235,1999,103.00999999999999
127,1:43.03,,Kennedy KIMWETICH,1973,KEN,2,,Stuttgart (GER),1998-07-19,1234,1998,103.03
127,1:43.03,,Nick SYMMONDS,30 DEC 1983,USA,2f1,,"Boudewijnstadion, Bruxelles (BEL)",2013-09-06,1234,2013,103.03
129,1:43.04,,Emmanuel Kipkurui KORIR,15 JUN 1995,KEN,2,,"Stade Louis II, Monaco (MON)",2021-07-09,1234,2021,103.03999999999999
130,1:43.05,,Wilfred BUNGEI,24 JUL 1980,KEN,1,,"FBK Stadium, Hengelo (NED)",2003-06-01,1234,2003,103.05
130,1:43.05,,Jonathan KITILIT,06 JUL 1995,KEN,3,,"Stade de France, Paris-St-Denis (FRA)",2016-08-27,1234,2016,103.05
132,1:43.06,,Billy KONCHELLAH,20 OCT 1961,KEN,1,,"Stadio Olimpico, Roma (ITA)",1987-09-01,1233,1987,103.06
132,1:43.06,,Wilfred BUNGEI,24 JUL 1980,KEN,1f1,,Zürich (SUI),2004-08-06,1233,2004,103.06
132,1:43.06,,Djamel SEDJATI,03 MAY 1999,ALG,3,,"Hayward Field, Eugene, OR (USA)",2023-09-17,1233,2023,103.06
135,1:43.07,,Sebastian COE,29 SEP 1956,GBR,2,,Köln (GER),1985-08-25,1233,1985,103.07
135,1:43.07,,Yeimer LÓPEZ,28 AUG 1982,CUB,1f1,,Jerez de la Frontera (ESP),2008-06-24,1233,2008,103.07
137,1:43.08,,José Luis BARBOSA,27 MAY 1961,BRA,1,,Rieti (ITA),1991-09-06,1233,1991,103.08
137,1:43.08,,Ayanleh SOULEIMAN,03 DEC 1992,DJI,1f1,,Barcelona (ESP),2015-07-08,1233,2015,103.08
139,1:43.09,,Japheth KIMUTAI,20 DEC 1978,KEN,2,,"Stade Louis II, Monaco (MON)",1999-08-04,1232,1999,103.09
139,1:43.09,,Djabir SAID-GUERNI,29 MAR 1977,ALG,5,,Bruxelles (BEL),1999-09-03,1232,1999,103.09
139,1:43.09,,Mbulaeni MULAUDZI,08 SEP 1980,RSA,1f1,,Rieti (ITA),2006-08-27,1232,2006,103.09
139,1:43.09,,Abubaker KAKI,21 JUN 1989,SUD,1,,Doha (QAT),2009-05-08,1232,2009,103.09
143,1:43.10,,Johnny GRAY,19 JUN 1960,USA,1,,Hengelo (NED),1988-08-14,1232,1988,103.1
143,1:43.10,,Abubaker KAKI,21 JUN 1989,SUD,1,,"FBK Stadium, Hengelo (NED)",2009-06-01,1232,2009,103.1
143,1:43.10,,Abubaker KAKI,21 JUN 1989,SUD,1,,"Stade Louis II, Monaco (MON)",2010-07-22,1232,2010,103.1
143,1:43.10,,David RUDISHA,17 DEC 1988,KEN,1f1,,"Suhaim bin Hamad Stadium, Doha (QAT)",2012-05-11,1232,2012,103.1
143,1:43.10,,Emmanuel Kipkurui KORIR,15 JUN 1995,KEN,1,,"Stade Louis II, Monaco (MON)",2017-07-21,1232,2017,103.1
148,1:43.11,,Wilson KIPKETER,12 DEC 1972,DEN,1f1,,Oslo (NOR),1999-06-30,1232,1999,103.11
148,1:43.11,,Yusuf Saad KAMEL,29 MAR 1983,BRN,1f2,,Zürich (SUI),2004-08-06,1232,2004,103.11
148,1:43.11,,Nijel AMOS,15 MAR 1994,BOT,1,,Mannheim (GER),2012-06-09,1232,2012,103.11
148,1:43.11,,Timothy CHERUIYOT,20 NOV 1995,KEN,1,,"Nyayo National Stadium, Nairobi (KEN)",2019-08-22,1232,2019,103.11
152,1:43.12,,André BUCHER,19 OCT 1976,SUI,1f1,,"Stade Olympique de la Pontaise, Lausanne (SUI)",2000-07-05,1231,2000,103.12
152,1:43.12,,Hezekiel SEPENG,30 JUN 1974,RSA,3,,"Boudewijnstadion, Bruxelles (BEL)",2003-09-05,1231,2003,103.12
152,1:43.12,,Clayton MURPHY,26 FEB 1995,USA,2,,"Olympic Stadium, London (GBR)",2018-07-22,1231,2018,103.12
152,1:43.12,,Wyclife KINYAMAL,02 JUL 1997,KEN,3,,"Olympic Stadium, London (GBR)",2018-07-22,1231,2018,103.12
156,1:43.13,,Wilson KIPKETER,12 DEC 1972,DEN,1,,Byrkjelo (NOR),1996-06-16,1231,1996,103.13
156,1:43.13,,Abubaker KAKI,21 JUN 1989,SUD,2,,"Crystal Palace, London (GBR)",2011-08-05,1231,2011,103.13
156,1:43.13,,Abraham Kipchirchir ROTICH,26 SEP 1993,KEN,1,,"Stade Louis II, Monaco (MON)",2012-07-20,1231,2012,103.13
159,1:43.14,,Ferguson Cheruiyot ROTICH,30 NOV 1989,KEN,1,,"Olympic Stadium, London (GBR)",2019-07-20,1231,2019,103.14
160,1:43.15,,Japheth KIMUTAI,20 DEC 1978,KEN,4,,Rieti (ITA),2002-09-08,1231,2002,103.15
160,1:43.15,,Mehdi BAALA,17 AUG 1978,FRA,5,,Rieti (ITA),2002-09-08,1231,2002,103.15
160,1:43.15,,David RUDISHA,17 DEC 1988,KEN,1,,"Olympic Park, Melbourne (AUS)",2010-03-04,1231,2010,103.15
160,1:43.15,,Asbel KIPROP,30 JUN 1989,KEN,2,,"Stade Louis II, Monaco (MON)",2011-07-22,1231,2011,103.15
160,1:43.15,,Abraham Kipchirchir ROTICH,26 SEP 1993,KEN,1f1,,Heusden-Zolder (BEL),2012-07-07,1231,2012,103.15
160,1:43.15,,Donavan BRAZIER,15 APR 1997,USA,1,,"Stade Louis II, Monaco (MON)",2020-08-14,1231,2020,103.15
166,1:43.16,,Paul ERENG,22 AUG 1967,KEN,1f1,,"Letzigrund, Zürich (SUI)",1989-08-16,1230,1989,103.16
166,1:43.16,,Hezekiel SEPENG,30 JUN 1974,RSA,3,,"Stade Louis II, Monaco (MON)",1999-08-04,1230,1999,103.16
168,1:43.17,,Benson KOECH,10 NOV 1974,KEN,1,,Rieti (ITA),1994-08-28,1230,1994,103.17
168,1:43.17,,Yuriy BORZAKOVSKIY,12 APR 1981,RUS,2,,"Stade Louis II, Monaco (MON)",2001-07-20,1230,2001,103.17
168,1:43.17,,Asbel KIPROP,30 JUN 1989,KEN,2,,Doha (QAT),2009-05-08,1230,2009,103.17
168,1:43.17,,Clayton MURPHY,26 FEB 1995,USA,1,,"Hayward Field, Eugene, OR (USA)",2021-06-21,1230,2021,103.17
172,1:43.18,,Wilson KIPKETER,12 DEC 1972,DEN,2f1,,Zürich (SUI),1998-08-12,1230,1998,103.18
172,1:43.18,,Nijel AMOS,15 MAR 1994,BOT,1,,"Olympic Stadium, London (GBR)",2017-07-09,1230,2017,103.18
174,1:43.19,,Steve CRAM,14 OCT 1960,GBR,1,,Rieti (ITA),1986-09-07,1229,1986,103.19
174,1:43.19,,Hezekiel SEPENG,30 JUN 1974,RSA,3,,Köln (GER),1997-08-24,1229,1997,103.19
176,1:43.20,,José Luis BARBOSA,27 MAY 1961,BRA,2f1,,"Letzigrund, Zürich (SUI)",1988-08-17,1229,1988,103.2
176,1:43.20,,Mark EVERETT,02 SEP 1968,USA,1,,Linz (AUT),1997-07-09,1229,1997,103.2
176,1:43.20,,Mohammed AMAN,10 JAN 1994,ETH,6,,"Olympic Stadium, London (GBR)",2012-08-09,1229,2012,103.2
176,1:43.20,,Brandon MCBRIDE,15 JUN 1994,CAN,2,,"Stade Louis II, Monaco (MON)",2018-07-20,1229,2018,103.2
176,1:43.20,,Emmanuel WANYONYI,01 AUG 2004,KEN,1,,"Egret Stadium, Xiamen (CHN)",2023-09-02,1229,2023,103.2
181,1:43.21,,Patrick NDURURI,12 JAN 1969,KEN,3f1,,Zürich (SUI),1998-08-12,1229,1998,103.21000000000001
182,1:43.22,,Steve CRAM,14 OCT 1960,GBR,1,,Edinburgh (GBR),1986-07-31,1228,1986,103.22
182,1:43.22,,Paul ERENG,22 AUG 1967,KEN,1,,Nice (FRA),1989-07-10,1228,1989,103.22
182,1:43.22,,Paweł CZAPIEWSKI,30 MAR 1978,POL,5f1,,"Letzigrund, Zürich (SUI)",2001-08-17,1228,2001,103.22
182,1:43.22,,Ferguson Cheruiyot ROTICH,30 NOV 1989,KEN,3f1,,"Boudewijnstadion, Bruxelles (BEL)",2013-09-06,1228,2013,103.22
182,1:43.22,,Wyclife KINYAMAL,02 JUL 1997,KEN,1,,"Stade Louis II, Monaco (MON)",2023-07-21,1228,2023,103.22
187,1:43.23,,Joaquim CRUZ,12 MAR 1963,BRA,2f1,,"Letzigrund, Zürich (SUI)",1985-08-21,1228,1985,103.22999999999999
187,1:43.23,,Bryce HOPPEL,05 SEP 1997,USA,2,,"Stade Louis II, Monaco (MON)",2020-08-14,1228,2020,103.22999999999999
187,1:43.23,,Djamel SEDJATI,03 MAY 1999,ALG,1,,"Olympiastadion, Stockholm (SWE)",2024-06-02,1228,2024,103.22999999999999
190,1:43.24,,Wilfred BUNGEI,24 JUL 1980,KEN,1,,Ostrava (CZE),2003-06-12,1228,2003,103.24000000000001
190,1:43.24,,Marco AROP,20 SEP 1998,CAN,2,,"Egret Stadium, Xiamen (CHN)",2023-09-02,1228,2023,103.24000000000001
192,1:43.25,,Vebjørn RODAL,16 SEP 1972,NOR,1,,London (GBR),1996-07-12,1227,1996,103.25
192,1:43.25,,Djabir SAID-GUERNI,29 MAR 1977,ALG,1f1,,Bruxelles (BEL),2000-08-25,1227,2000,103.25
192,1:43.25,,Mbulaeni MULAUDZI,08 SEP 1980,RSA,1,,Rehlingen (GER),2003-06-09,1227,2003,103.25
192,1:43.25,,Amine LAALOU,13 MAY 1982,MAR,1,,"Stadio Olimpico, Roma (ITA)",2006-07-14,1227,2006,103.25
192,1:43.25,,David RUDISHA,17 DEC 1988,KEN,1,,"Stade Olympique de la Pontaise, Lausanne (SUI)",2010-07-08,1227,2010,103.25
192,1:43.25,,Michael SARUNI,18 JUN 1995,KEN,1f1,,"Tucson, AZ (USA)",2018-04-28,1227,2018,103.25
