Rank,Mark,WIND,Competitor,DOB,Nat,Pos,Unnamed: 7,Venue,Date,Results Score,Year,Mark_Sec
28,1:55.27,,Caster SEMENYA,07 JAN 1991,RSA,1,,"Letzigrund, Zürich (SUI)",2018-08-30,1248,2018,115.27000000000001
30,1:55.28,,Caster SEMENYA,07 JAN 1991,RSA,1,,"Estádio Olímpico, Rio de Janeiro (BRA)",2016-08-20,1248,2016,115.28
31,1:55.29,,Maria de Lurdes MUTOLA,27 OCT 1972,MOZ,2,,Köln (GER),1997-08-24,1248,1997,115.28999999999999
32,1:55.32,,Christine WACHTEL,06 JAN 1965,GDR,2,,"Stadio Olimpico, Roma (ITA)",1987-08-31,1247,1987,115.32
33,1:55.33,,Caster SEMENYA,07 JAN 1991,RSA,1,,"Stade Louis II, Monaco (MON)",2016-07-15,1247,2016,115.33
34,1:55.41,,Olga MINEYEVA,01 OCT 1952,URS,1,,"Olympic Stadium, Athina (GRE)",1982-09-08,1246,1982,115.41
34,1:55.41,,Pamela JELIMO,05 DEC 1989,KEN,1,,"Bislett Stadion, Oslo (NOR)",2008-06-06,1246,2008,115.41
36,1:55.42,,Nikolina SHTEREVA,21 JAN 1955,BUL,2,,"Olympic Stadium, Montréal (CAN)",1976-07-26,1246,1976,115.42
37,1:55.43,,Maria de Lurdes MUTOLA,27 OCT 1972,MOZ,1,,"Gottlieb-Daimler Stadion, Stuttgart (GER)",1993-08-17,1245,1993,115.43
38,1:55.45,,Caster SEMENYA,07 JAN 1991,RSA,1,,"Olympiastadion, Berlin (GER)",2009-08-19,1245,2009,115.45
39,1:55.46,,Tatyana PROVIDOKHINA,26 MAR 1953,URS,3,,"Lenin Stadium, Moskva (URS)",1980-07-27,1245,1980,115.46000000000001
40,1:55.47,,Francine NIYONSABA,05 MAY 1993,BDI,2,,"Stade Louis II, Monaco (MON)",2017-07-21,1245,2017,115.47
41,1:55.54,,Ellen VAN LANGEN,09 FEB 1966,NED,1,,"Estadio Olímpico, Barcelona (ESP)",1992-08-03,1243,1992,115.53999999999999
41,1:55.54,,Dong LIU,24 DEC 1973,CHN,1,,Beijing (CHN),1993-09-09,1243,1993,115.53999999999999
43,1:55.55,,Maria de Lurdes MUTOLA,27 OCT 1972,MOZ,1,,Madrid (ESP),2003-07-19,1243,2003,115.55
44,1:55.56,,Lyubov GURINA,06 AUG 1957,URS,3,,"Stadio Olimpico, Roma (ITA)",1987-08-31,1243,1987,115.56
45,1:55.60,,Elfi ZINN,24 AUG 1953,GDR,3,,"Olympic Stadium, Montréal (CAN)",1976-07-26,1242,1976,115.6
46,1:55.61,,Ajee' WILSON,08 MAY 1994,USA,3,,"Stade Louis II, Monaco (MON)",2017-07-21,1242,2017,115.61
47,1:55.62,,Maria de Lurdes MUTOLA,27 OCT 1972,MOZ,1f1,,Zürich (SUI),1993-08-04,1242,1993,115.62
48,1:55.68,,Ella KOVÁCS,11 DEC 1964,ROU,1,,Bucureşti (ROU),1985-06-02,1241,1985,115.68
48,1:55.68,,Caster SEMENYA,07 JAN 1991,RSA,1,,"Olympiastadion, Berlin (GER)",2016-09-03,1241,2016,115.68
50,1:55.69,,Irina PODYALOVSKAYA,19 OCT 1959,URS,1,,Kiev (URS),1984-06-22,1241,1984,115.69
50,1:55.69,,Pamela JELIMO,05 DEC 1989,KEN,1,,"Stadio Olimpico, Roma (ITA)",2008-07-11,1241,2008,115.69
52,1:55.70,,Sigrun WODARS,07 NOV 1965,GDR,2,,"Estadio Olímpico, Barcelona (ESP)",1989-09-09,1240,1989,115.7
52,1:55.70,,Caster SEMENYA,07 JAN 1991,RSA,1,,"Cobb Track and Angell Field, Palo Alto, CA (USA)",2019-06-30,1240,2019,115.7
54,1:55.72,,Maria de Lurdes MUTOLA,27 OCT 1972,MOZ,1,,"Stade Louis II, Monaco (MON)",1995-09-09,1240,1995,115.72
55,1:55.74,,Anita WEIß,16 JUL 1955,GDR,4,,"Olympic Stadium, Montréal (CAN)",1976-07-26,1240,1976,115.74000000000001
56,1:55.76,,Pamela JELIMO,05 DEC 1989,KEN,1,,"FBK Stadium, Hengelo (NED)",2008-05-24,1239,2008,115.75999999999999
57,1:55.77,,Keely HODGKINSON,03 MAR 2002,GBR,1,,"Stade Charléty, Paris (FRA)",2023-06-09,1239,2023,115.77000000000001
58,1:55.78,,Ana Fidelia QUIROT,23 MAR 1963,CUB,1,,Stuttgart (GER),1997-07-13,1239,1997,115.78
58,1:55.78,,Keely HODGKINSON,03 MAR 2002,GBR,1,,"Hayward Field, Eugene, OR (USA)",2024-05-25,1239,2024,115.78
60,1:55.80,,Tatyana PROVIDOKHINA,26 MAR 1953,URS,1,,"Stadion Evžena Rošického, Praha (TCH)",1978-08-31,1239,1978,115.8
61,1:55.82,,Nadezhda OLIZARENKO,28 NOV 1953,URS,2,,"Stadion Evžena Rošického, Praha (TCH)",1978-08-31,1238,1978,115.82
61,1:55.82,,Jolanda ČEPLAK,12 SEP 1976,SLO,1,,"Ferry-Dusika-Halle, Wien (AUT) (i)",2002-03-03,1255,2002,115.82
63,1:55.84,,Ana Fidelia QUIROT,23 MAR 1963,CUB,4,,"Stadio Olimpico, Roma (ITA)",1987-08-31,1238,1987,115.84
63,1:55.84,,Caster SEMENYA,07 JAN 1991,RSA,1,,"Letzigrund, Zürich (SUI)",2017-08-24,1238,2017,115.84
65,1:55.85,,Stephanie GRAF,26 APR 1973,AUT,2,,"Ferry-Dusika-Halle, Wien (AUT) (i)",2002-03-03,1255,2002,115.85
66,1:55.86,,Christine WACHTEL,06 JAN 1965,GDR,1,,Potsdam (GDR),1987-08-21,1237,1987,115.86
66,1:55.86,,Francine NIYONSABA,05 MAY 1993,BDI,2,,"Stade Charléty, Paris (FRA)",2018-06-30,1237,2018,115.86
68,1:55.87,,Sigrun WODARS,07 NOV 1965,GDR,1,,"Poljud Stadion, Split (CRO)",1990-08-29,1237,1990,115.87
68,1:55.87,,Svetlana MASTERKOVA,17 JAN 1968,RUS,1,,Moskva (RUS),1999-06-18,1237,1999,115.87
70,1:55.88,,Keely HODGKINSON,03 MAR 2002,GBR,2,,"National Stadium, Tokyo (JPN)",2021-08-03,1237,2021,115.88
71,1:55.91,,Jarmila KRATOCHVÍLOVÁ,26 JAN 1951,TCH,1,,Moskva (URS),1985-08-17,1237,1985,115.91
72,1:55.92,,Francine NIYONSABA,05 MAY 1993,BDI,2,,"Olympic Stadium, London (GBR)",2017-08-13,1236,2017,115.92
72,1:55.92,,Caster SEMENYA,07 JAN 1991,RSA,1,,"Hayward Field, Eugene, OR (USA)",2018-05-26,1236,2018,115.92
74,1:55.93,,Maria de Lurdes MUTOLA,27 OCT 1972,MOZ,1f1,,Zürich (SUI),1995-08-16,1236,1995,115.93
75,1:55.96,,Lyudmila VESELKOVA,25 OCT 1950,URS,2,,"Olympic Stadium, Athina (GRE)",1982-09-08,1236,1982,115.96000000000001
75,1:55.96,,Yekaterina PODKOPAYEVA,11 JUN 1952,URS,1,,Leningrad (URS),1983-07-27,1236,1983,115.96000000000001
75,1:55.96,,Francine NIYONSABA,05 MAY 1993,BDI,2,,"Stade Louis II, Monaco (MON)",2018-07-20,1236,2018,115.96000000000001
75,1:55.96,,Natoya GOULE-TOPPIN,30 MAR 1991,JAM,3,,"Hayward Field, Eugene, OR (USA)",2023-09-17,1236,2023,115.96000000000001
79,1:55.99,,Liliya NURUTDINOVA,15 DEC 1963,EUN,2,,"Estadio Olímpico, Barcelona (ESP)",1992-08-03,1235,1992,115.99000000000001
80,1:56.00,,Tatyana ANDRIANOVA,10 DEC 1979,RUS,1,,Kazan (RUS),2008-07-18,1235,2008,116.0
81,1:56.03,,Nadezhda OLIZARENKO,28 NOV 1953,URS,1,,Kiev (URS),1988-08-01,1234,1988,116.03
81,1:56.03,,Mary MORAA,15 JUN 2000,KEN,1,,"Nemzeti Atlétikai Központ, Budapest (HUN)",2023-08-27,1234,2023,116.03
83,1:56.04,,Svetlana MASTERKOVA,17 JAN 1968,RUS,1,,Monaco (MON),1996-08-10,1234,1996,116.03999999999999
83,1:56.04,,Maria de Lurdes MUTOLA,27 OCT 1972,MOZ,1,,Zürich (SUI),1999-08-11,1234,1999,116.03999999999999
83,1:56.04,,Janeth JEPKOSGEI,13 DEC 1983,KEN,1,,"Yanmar Stadium Nagai, Osaka (JPN)",2007-08-28,1234,2007,116.03999999999999
86,1:56.07,,Tatyana ANDRIANOVA,10 DEC 1979,RUS,1,,Tula (RUS),2005-07-11,1234,2005,116.07
86,1:56.07,,Janeth JEPKOSGEI,13 DEC 1983,KEN,2,,"National Stadium, Beijing (CHN)",2008-08-18,1234,2008,116.07
86,1:56.07,,Athing MU,08 JUN 2002,USA,1,,"Hayward Field, Eugene, OR (USA)",2021-06-27,1234,2021,116.07
89,1:56.09,,Nadezhda OLIZARENKO,28 NOV 1953,URS,2,,Kiev (URS),1984-06-22,1233,1984,116.09
89,1:56.09,,Zulia CALATAYUD,09 NOV 1979,CUB,1,,"Stade Louis II, Monaco (MON)",2002-07-19,1233,2002,116.09
91,1:56.10,,Sigrun WODARS,07 NOV 1965,GDR,1,,"Olympic Stadium, Jamsil, Seoul (KOR)",1988-09-26,1233,1988,116.1
92,1:56.11,,Lyubov GURINA,06 AUG 1957,URS,2,,"Olympiastadion, Helsinki (FIN)",1983-08-09,1233,1983,116.11
92,1:56.11,,Christine WACHTEL,06 JAN 1965,GDR,2,,"Poljud Stadion, Split (CRO)",1990-08-29,1233,1990,116.11
92,1:56.11,,Ana Fidelia QUIROT,23 MAR 1963,CUB,1,,"Ullevi Stadium, Göteborg (SWE)",1995-08-13,1233,1995,116.11
92,1:56.11,,Maria de Lurdes MUTOLA,27 OCT 1972,MOZ,1,,Zürich (SUI),1998-08-12,1233,1998,116.11
96,1:56.15,,Maria de Lurdes MUTOLA,27 OCT 1972,MOZ,1,,"Olympic Stadium, Sydney (AUS)",2000-09-25,1232,2000,116.15
96,1:56.15,,Natoya GOULE,30 MAR 1991,JAM,3,,"Stade Louis II, Monaco (MON)",2018-07-20,1232,2018,116.15
98,1:56.16,,Maria de Lurdes MUTOLA,27 OCT 1972,MOZ,2,,"Stade Louis II, Monaco (MON)",2002-07-19,1232,2002,116.16
99,1:56.17,,Janeth JEPKOSGEI,13 DEC 1983,KEN,1sf3,,"Yanmar Stadium Nagai, Osaka (JPN)",2007-08-26,1232,2007,116.17
100,1:56.21,,Martina KÄMPFERT-STEUK,11 NOV 1959,GDR,4,,"Lenin Stadium, Moskva (URS)",1980-07-27,1231,1980,116.21000000000001
100,1:56.21,,Zamira ZAYTSEVA,16 FEB 1953,URS,2,,Leningrad (URS),1983-07-27,1231,1983,116.21000000000001
100,1:56.21,,Kelly HOLMES,19 APR 1970,GBR,2,,"Stade Louis II, Monaco (MON)",1995-09-09,1231,1995,116.21000000000001
103,1:56.23,,Tatyana ANDRIANOVA,10 DEC 1979,RUS,1,,Tula (RUS),2004-07-31,1231,2004,116.22999999999999
103,1:56.23,,Pamela JELIMO,05 DEC 1989,KEN,1,,"Gottlieb-Daimler Stadion, Stuttgart (GER)",2008-09-14,1231,2008,116.22999999999999
105,1:56.24,,Ravilya AGLETDINOVA,10 FEB 1960,URS,1,,Leningrad (URS),1985-08-01,1230,1985,116.24000000000001
105,1:56.24,,Yunxia QU,25 DEC 1972,CHN,2,,Beijing (CHN),1993-09-09,1230,1993,116.24000000000001
105,1:56.24,,Francine NIYONSABA,05 MAY 1993,BDI,2,,"Stade Louis II, Monaco (MON)",2016-07-15,1230,2016,116.24000000000001
108,1:56.25,,Nadezhda OLIZARENKO,28 NOV 1953,URS,2,,Leningrad (URS),1985-08-01,1230,1985,116.25
108,1:56.25,,Dong LIU,24 DEC 1973,CHN,1h3,,Beijing (CHN),1993-09-08,1230,1993,116.25
108,1:56.25,,Maria de Lurdes MUTOLA,27 OCT 1972,MOZ,1f1,,"Stade Olympique de la Pontaise, Lausanne (SUI)",2002-07-02,1230,2002,116.25
111,1:56.26,,Lyubov GURINA,06 AUG 1957,URS,1,,Moskva (URS),1984-07-19,1230,1984,116.25999999999999
112,1:56.27,,Jarmila KRATOCHVÍLOVÁ,26 JAN 1951,TCH,1,,Praha (TCH),1985-08-11,1230,1985,116.27000000000001
113,1:56.28,,Rose Mary ALMANZA,13 JUL 1992,CUB,1,,"Olympiastadion, Stockholm (SWE)",2021-07-04,1230,2021,116.28
114,1:56.29,,Nikolina SHTEREVA,21 JAN 1955,BUL,1,,Torino (ITA),1979-08-04,1230,1979,116.28999999999999
114,1:56.29,,Ana Fidelia QUIROT,23 MAR 1963,CUB,2,,Monaco (MON),1996-08-10,1230,1996,116.28999999999999
114,1:56.29,,Janeth JEPKOSGEI,13 DEC 1983,KEN,1f1,,"Stadio Guidobaldi, Rieti (ITA)",2007-09-09,1230,2007,116.28999999999999
117,1:56.30,,Athing MU,08 JUN 2002,USA,1,,"Hayward Field, Eugene, OR (USA)",2022-07-24,1229,2022,116.3
118,1:56.34,,Keely HODGKINSON,03 MAR 2002,GBR,2,,"Nemzeti Atlétikai Központ, Budapest (HUN)",2023-08-27,1229,2023,116.34
119,1:56.35,,Caster SEMENYA,07 JAN 1991,RSA,1,,"DS, Daegu (KOR)",2011-09-04,1228,2011,116.35
120,1:56.36,,Ana Fidelia QUIROT,23 MAR 1963,CUB,1,,Villeneuve d'Ascq (FRA),1988-06-27,1228,1988,116.36
120,1:56.36,,Maria de Lurdes MUTOLA,27 OCT 1972,MOZ,1,,Durban (RSA),1993-06-27,1228,1993,116.36
120,1:56.36,,Maria de Lurdes MUTOLA,27 OCT 1972,MOZ,1,,Zürich (SUI),1997-08-13,1228,1997,116.36
123,1:56.37,,Nadezhda OLIZARENKO,28 NOV 1953,URS,1,,Potsdam (GDR),1984-07-21,1228,1984,116.37
123,1:56.37,,Svetlana MASTERKOVA,17 JAN 1968,RUS,2,,Zürich (SUI),1999-08-11,1228,1999,116.37
125,1:56.38,,Kelly HOLMES,19 APR 1970,GBR,1,,"Olympic Stadium, Athina (GRE)",2004-08-23,1228,2004,116.38
125,1:56.38,,Keely HODGKINSON,03 MAR 2002,GBR,2,,"Hayward Field, Eugene, OR (USA)",2022-07-24,1228,2022,116.38
127,1:56.40,,Christine WACHTEL,06 JAN 1965,GDR,1,,Wien (AUT) (i),1988-02-13,1246,1988,116.4
127,1:56.40,,Jearl MILES-CLARK,04 SEP 1966,USA,3,,Zürich (SUI),1999-08-11,1228,1999,116.4
129,1:56.42,,Paula IVAN,20 JUL 1963,ROU,1,,Ankara (TUR),1988-07-16,1227,1988,116.42
129,1:56.42,,Rose Mary ALMANZA,13 JUL 1992,CUB,1f1,,"Altamira estadioa, Ordizia (ESP)",2021-06-19,1227,2021,116.42
131,1:56.43,,Jearl MILES-CLARK,04 SEP 1966,USA,2,,Zürich (SUI),1998-08-12,1227,1998,116.43
131,1:56.43,,Hasna BENHASSI,01 JUN 1978,MAR,2,,"Olympic Stadium, Athina (GRE)",2004-08-23,1227,2004,116.43
131,1:56.43,,Jolanda ČEPLAK,12 SEP 1976,SLO,3,,"Olympic Stadium, Athina (GRE)",2004-08-23,1227,2004,116.43
134,1:56.44,,Svetlana STYRKINA,1949,URS,5,,"Olympic Stadium, Montréal (CAN)",1976-07-26,1227,1976,116.44
134,1:56.44,,Caster SEMENYA,07 JAN 1991,RSA,1,,"Letzigrund, Zürich (SUI)",2016-09-01,1227,2016,116.44
134,1:56.44,,Natoya GOULE,30 MAR 1991,JAM,2,,"Olympiastadion, Stockholm (SWE)",2021-07-04,1227,2021,116.44
137,1:56.45,,Maria de Lurdes MUTOLA,27 OCT 1972,MOZ,1,,Bruxelles (BEL),1997-08-22,1227,1997,116.45
137,1:56.45,,Ajee' WILSON,08 MAY 1994,USA,4,,"Stade Louis II, Monaco (MON)",2018-07-20,1227,2018,116.45
139,1:56.47,,Sigrun WODARS,07 NOV 1965,GDR,2,,Potsdam (GDR),1987-08-21,1226,1987,116.47
139,1:56.47,,Ana Fidelia QUIROT,23 MAR 1963,CUB,2,,Zürich (SUI),1997-08-13,1226,1997,116.47
141,1:56.49,,Francine NIYONSABA,05 MAY 1993,BDI,2,,"Estádio Olímpico, Rio de Janeiro (BRA)",2016-08-20,1226,2016,116.49000000000001
142,1:56.51,,Slobodanka ČOLOVIĆ,10 JAN 1965,YUG,1,,Beograd (SRB),1987-06-17,1225,1987,116.50999999999999
142,1:56.51,,Maria de Lurdes MUTOLA,27 OCT 1972,MOZ,1,,Oslo (NOR),1993-07-10,1225,1993,116.50999999999999
142,1:56.51,,Maria de Lurdes MUTOLA,27 OCT 1972,MOZ,4,,"Olympic Stadium, Athina (GRE)",2004-08-23,1225,2004,116.50999999999999
145,1:56.53,,Anita WEIß,16 JUL 1955,GDR,1sf1,,"Olympic Stadium, Montréal (CAN)",1976-07-24,1225,1976,116.53
145,1:56.53,,Doina MELINTE,27 DEC 1956,ROU,1,,Bucureşti (ROU),1984-07-11,1225,1984,116.53
145,1:56.53,,Lyubov GURINA,06 AUG 1957,RUS,1,,Hechtel (BEL),1994-07-30,1225,1994,116.53
145,1:56.53,,Patricia DJATÉ-TAILLARD,03 JAN 1971,FRA,3,,"Stade Louis II, Monaco (MON)",1995-09-09,1225,1995,116.53
145,1:56.53,,Ana Fidelia QUIROT,23 MAR 1963,CUB,1,,Fukuoka (JPN),1997-09-13,1225,1997,116.53
150,1:56.55,,Doina MELINTE,27 DEC 1956,ROU,3,,"Estadio Olímpico, Barcelona (ESP)",1989-09-09,1225,1989,116.55
151,1:56.56,,Ana Fidelia QUIROT,23 MAR 1963,CUB,1f1,,"Olympiastadion, Berlin (GER)",1987-08-21,1225,1987,116.56
151,1:56.56,,Lyubov GURINA,06 AUG 1957,URS,1,,Vladivostok (URS),1988-09-14,1225,1988,116.56
151,1:56.56,,Maria de Lurdes MUTOLA,27 OCT 1972,MOZ,1,,"New York, NY (USA)",1993-05-22,1225,1993,116.56
151,1:56.56,,Ludmila FORMANOVÁ,02 JAN 1974,CZE,4,,Zürich (SUI),1999-08-11,1225,1999,116.56
155,1:56.57,,Zoya RIGEL,15 OCT 1952,URS,3,,"Stadion Evžena Rošického, Praha (TCH)",1978-08-31,1224,1978,116.57
155,1:56.57,,Jarmila KRATOCHVÍLOVÁ,26 JAN 1951,TCH,1,,Praha (TCH),1985-06-22,1224,1985,116.57
155,1:56.57,,Maria de Lurdes MUTOLA,27 OCT 1972,MOZ,1,,"Stade Olympique de la Pontaise, Lausanne (SUI)",2003-07-01,1224,2003,116.57
158,1:56.58,,Ella KOVÁCS,11 DEC 1964,ROU,1,,Bucureşti (ROU),1993-05-30,1224,1993,116.58
159,1:56.59,,Totka PETROVA,17 DEC 1956,BUL,4,,"Stadion Evžena Rošického, Praha (TCH)",1978-08-31,1224,1978,116.59
159,1:56.59,,Jarmila KRATOCHVÍLOVÁ,26 JAN 1951,TCH,1,,Praha (TCH),1982-09-18,1224,1982,116.59
159,1:56.59,,Natalya KHRUSHCHELYOVA,20 MAY 1973,RUS,2,,Tula (RUS),2004-07-31,1224,2004,116.59
159,1:56.59,,Francine NIYONSABA,05 MAY 1993,BDI,1,,"Boudewijnstadion, Bruxelles (BEL)",2012-09-07,1224,2012,116.59
163,1:56.60,,Natalya TSYGANOVA,07 FEB 1971,RUS,1,,Tula (RUS),2000-07-25,1224,2000,116.6
164,1:56.61,,Ella KOVÁCS,11 DEC 1964,ROU,1,,Hengelo (NED),1993-06-20,1224,1993,116.61
164,1:56.61,,Yelena AFANASYEVA,01 MAR 1967,RUS,3,,Zürich (SUI),1997-08-13,1224,1997,116.61
164,1:56.61,,Ana Fidelia QUIROT,23 MAR 1963,CUB,2,,Bruxelles (BEL),1997-08-22,1224,1997,116.61
164,1:56.61,,Caster SEMENYA,07 JAN 1991,RSA,1,,"Suhaim bin Hamad Stadium, Doha (QAT)",2017-05-05,1224,2017,116.61
164,1:56.61,,Athing MU,08 JUN 2002,USA,3,,"Nemzeti Atlétikai Központ, Budapest (HUN)",2023-08-27,1224,2023,116.61
169,1:56.62,,Tina PAULINO,07 JUL 1973,MOZ,2,,"New York, NY (USA)",1993-05-22,1223,1993,116.62
169,1:56.62,,Ana Fidelia QUIROT,23 MAR 1963,CUB,2f1,,Zürich (SUI),1995-08-16,1223,1995,116.62
171,1:56.63,,Nadezhda OLIZARENKO,28 NOV 1953,URS,2,,Moskva (URS),1985-08-17,1223,1985,116.63
171,1:56.63,,Yelena AFANASYEVA,01 MAR 1967,RUS,1,,"Stade Louis II, Monaco (MON)",1998-08-08,1223,1998,116.63
173,1:56.64,,Christine WACHTEL,06 JAN 1965,GDR,2,,"Olympic Stadium, Jamsil, Seoul (KOR)",1988-09-26,1223,1988,116.64
173,1:56.64,,Nadezhda LOBOYKO,07 SEP 1961,URS,1,,Kiev (URS),1990-07-07,1223,1990,116.64
173,1:56.64,,Stephanie GRAF,26 APR 1973,AUT,2,,"Olympic Stadium, Sydney (AUS)",2000-09-25,1223,2000,116.64
173,1:56.64,,Svetlana KLYUKA,27 DEC 1978,RUS,2,,Kazan (RUS),2008-07-18,1223,2008,116.64
173,1:56.64,,Caster SEMENYA,07 JAN 1991,RSA,1,,"Complexe Sportif Prince Moulay Abdellah, Rabat (MAR)",2016-05-22,1223,2016,116.64
173,1:56.64,,Caster SEMENYA,07 JAN 1991,RSA,1f1,,"Stadio Olimpico, Roma (ITA)",2016-06-02,1223,2016,116.64
179,1:56.65,,Yekaterina PODKOPAYEVA,11 JUN 1952,URS,3,,Leningrad (URS),1985-08-01,1223,1985,116.65
179,1:56.65,,Maria de Lurdes MUTOLA,27 OCT 1972,MOZ,2,,"Stade Louis II, Monaco (MON)",1998-08-08,1223,1998,116.65
179,1:56.65,,Ajee' WILSON,08 MAY 1994,USA,3,,"Olympic Stadium, London (GBR)",2017-08-13,1223,2017,116.65
182,1:56.66,,Ellen VAN LANGEN,09 FEB 1966,NED,1,,Hengelo (NED),1992-06-28,1223,1992,116.66
182,1:56.66,,Janeth JEPKOSGEI,13 DEC 1983,KEN,1f1,,"Stade Olympique de la Pontaise, Lausanne (SUI)",2006-07-11,1223,2006,116.66
184,1:56.67,,Fita LOVIN,14 JAN 1951,ROU,2f1,,Moskva (URS),1980-06-12,1223,1980,116.67
184,1:56.67,,Yekaterina KOSTETSKAYA,31 DEC 1986,RUS,3,,Kazan (RUS),2008-07-18,1223,2008,116.67
184,1:56.67,,Werkuha GETACHEW,07 DEC 1995,ETH,1,,"FBK Stadium, Hengelo (NED)",2021-06-08,1223,2021,116.67
187,1:56.68,,Letitia VRIESDE,05 OCT 1964,SUR,2,,"Ullevi Stadium, Göteborg (SWE)",1995-08-13,1222,1995,116.68
187,1:56.68,,Ludmila FORMANOVÁ,02 JAN 1974,CZE,1,,"La Cartuja, Sevilla (ESP)",1999-08-24,1222,1999,116.68
187,1:56.68,,Caster SEMENYA,07 JAN 1991,RSA,1,,Gold Coast (AUS),2018-04-13,1222,2018,116.68
190,1:56.71,,Christine WACHTEL,06 JAN 1965,GDR,3,,Moskva (URS),1985-08-17,1222,1985,116.71000000000001
190,1:56.71,,Fita LOVIN,14 JAN 1951,ROU,1,,"Letzigrund, Zürich (SUI)",1985-08-21,1222,1985,116.71000000000001
190,1:56.71,,Maria de Lurdes MUTOLA,27 OCT 1972,MOZ,1,,Stockholm (SWE),1998-08-05,1222,1998,116.71000000000001
190,1:56.71,,Francine NIYONSABA,05 MAY 1993,BDI,2,,"Letzigrund, Zürich (SUI)",2017-08-24,1222,2017,116.71000000000001
190,1:56.71,,Habitam ALEMU,09 JUL 1997,ETH,5,,"Stade Louis II, Monaco (MON)",2018-07-20,1222,2018,116.71000000000001
